name,state,n_train,n_params,stopped_epoch,test_pos_mm_avg,test_pos_mm_max,test_ori_deg_avg,test_pct_pos_le_1mm,test_pct_ori_le_1deg,seeded_bestK_pos_mm,seeded_bestK_ori_deg,seeded_bestK_pct_pos_le_1mm,seeded_diversity_all,seeded_mean_valid_per_pose,seeded_frac_poses_multi,seeded_valid_diversity,seedless_bestK_pos_mm,seedless_bestK_ori_deg,seedless_bestK_pct_pos_le_1mm,seedless_diversity_all,seedless_mean_valid_per_pose,seedless_frac_poses_multi,seedless_valid_diversity
lbe_n50,finished,1600,3626247,210,370.3393210815322,847.2231371592698,88.08517075047705,0.0,0.0,111.98260130258912,79.29801785953408,0.0,0.3135763546599244,0.0,0.0,0.0,398.00005667765697,93.64854849121473,0.0,0.32442561962784466,0.0,0,0
lbe_n100,finished,3200,4675847,700,112.6072156408258,401.845484169553,25.540764142849884,0.0,0.0,56.78485837128807,21.711942309688155,0.0,0.07208161781232512,0.0,0.0,0.0,117.8964269431879,123.4594047870685,0.0,0.5440308050777827,0.0,0,0
lbe_n200,finished,6400,4675847,1499,38.28717159623656,253.25211591899165,8.3478671039125,0.0,0.375,14.505605480881751,6.671045722745962,0.125,0.034385071418323955,0.962890625,0.181640625,0.10339733275677788,89.02955671687431,90.0841269561142,0.0,0.2763949360913128,0.0,0,0
lbe_n400,finished,12800,3626247,880,23.430113357445393,142.48493409464731,5.884094305093148,0.0625,0.3125,5.128480156324707,4.331725725407891,2.1484375,0.03391762415674218,4.138671875,0.796875,0.10338467313542384,51.92690330595301,65.56963203153357,0.0,0.38881569531207105,0.0,0,0
lbe_n800,finished,25600,3626247,640,21.07166063175067,110.68427594756544,4.854731297936682,0.0625,1.09375,4.831278590984646,3.2271754847783636,0.5859375,0.028990020269184076,5.86328125,0.830078125,0.08819484660396244,38.54465452758252,46.07290613571608,0.0,0.41323362041032086,0.0,0,0
lbe_n1600,finished,51200,3626247,400,21.689338989333866,111.84530671304748,4.736199082376172,0.078125,1.078125,4.199874226533192,2.958792719169547,2.734375,0.030416621169489597,7.568359375,0.931640625,0.09417297781224115,36.59024619962467,38.68291338020986,0.0,0.5179639247430894,0.0,0,0
lbe_n3200,finished,102400,3626247,630,16.03948150648327,87.98212775929619,3.8059474931031225,0.0703125,1.9453125,3.531636422380448,2.6539864857604867,2.5390625,0.022680868101374037,11.666015625,0.94921875,0.0730850915791467,26.301250325795387,26.05091390542376,0.1953125,0.5202067393271977,0.001953125,0,0
lbe_n6400,finished,204800,3626247,720,14.74055391063205,88.46781328477182,3.2817708967054444,0.13671875,3.3515625,3.825899758469007,2.341731743515708,3.7109375,0.020180551916277777,11.35546875,0.943359375,0.0664850580414315,26.98317476829412,19.38823234707126,0.0,0.5175758926390157,0.001953125,0,0
lbe_n12800,finished,409600,3626247,280,17.597920230497934,117.77019958297824,4.110490047685687,0.0703125,1.755859375,4.245733633003117,2.839324956425456,1.7578125,0.02312992164755842,7.576171875,0.9140625,0.07274566286962036,32.511748426682296,24.70534234738342,0.0,0.5621453419792559,0.0,0,0
lbe_n25600,finished,819200,3626247,270,14.962104860085592,105.18181482780908,3.371069337081991,0.140625,3.056640625,3.3797792926338563,2.4928220722267427,4.296875,0.02054436551009798,11.75390625,0.986328125,0.06617539163939348,22.580408555732387,21.38468186508852,0.0,0.6075306452709446,0.005859375,0,0
