step,bestK_pos_mm,bestK_ori_deg,mean_pos_mm,mean_ori_deg,pct_submm,pct_subdeg,diversity,distinct_modes
0,228.98944342025624,124.42711894327945,621.6838496262394,126.15734621717601,0.0,0.0,1.3376862158041518,0.0
1,114.34355064552064,103.8691667400056,429.27509820394624,118.18582358917426,0.0,0.0,1.5887506027867857,0.0
2,59.82513592520063,81.45644501337418,388.70161081513817,108.53510641897887,0.48828125,1.123046875,1.5777640213982496,0.0057049714751426246
3,34.56658048073463,58.18229698165468,342.2558566954755,99.04379523565464,2.783203125,10.888671875,1.5722345121743682,0.02689486552567237
4,20.26019673233938,38.68763390468964,313.8752306515156,90.659312521962,12.841796875,33.49609375,1.5679935805396756,nan
5,12.336915744920196,23.324896172422314,287.5186050305891,83.63097139912742,28.22265625,56.298828125,1.5652904209719005,0.36674816625916873
6,7.875892441140195,14.520390948059498,266.02033028237213,78.22613187141474,42.724609375,71.142578125,1.5608632462558734,nan
7,5.497615667540768,8.687775670121594,247.4379473123863,73.37426713204957,56.982421875,80.95703125,1.5549276086711339,nan
8,3.9047680271009053,5.732215448569454,231.3249926833525,69.64242192095715,65.283203125,86.474609375,1.550278073754671,nan
9,2.9761665725731516,3.9591546929515298,218.16962792848076,66.35440477014252,72.705078125,90.625,1.5444396141717127,nan
10,2.372291253478539,3.032096073991065,206.4146491981397,63.675192809215886,77.294921875,92.28515625,1.5358624332808504,1.9706601466992666
11,1.8445889414135115,2.236676697197907,194.80572571080782,61.2152674975322,80.908203125,93.9453125,1.5298261086400091,nan
12,1.544052195070967,1.7470418914370494,185.58327949639727,59.04517394572665,83.642578125,94.921875,1.5221896211281156,nan
13,1.3154042321765043,1.4112648667783767,176.44405612148245,56.84407513555256,85.7421875,95.556640625,1.5160905702748892,nan
14,1.1209910932249207,1.1621651800514272,168.64740598155646,55.12301009718524,87.744140625,96.09375,1.5103214412922221,nan
15,0.9846832248731957,0.8955986520052269,161.68491029399982,53.75935055604599,89.501953125,96.484375,1.5046555910744863,3.1809290953545233
16,0.8637975958229148,0.7076837081144625,155.52236605602704,52.43741104925175,90.283203125,96.728515625,1.4976087497485662,nan
17,0.7385971294432851,0.7307950718418166,149.87395936771992,51.143791801120216,91.357421875,97.0703125,1.4931680679011394,nan
18,0.7085099864704011,0.6110158613062064,145.27382333259737,50.06766609882992,91.796875,97.265625,1.4880083215824198,nan
19,0.6788255275455883,0.649732425527778,140.73605288039147,48.97942373692373,92.48046875,97.412109375,1.4831988281957,nan
20,0.6679506652943101,0.573529668500683,136.57067005014034,48.134526920159786,92.96875,97.412109375,1.4784267664095523,3.895680521597392
21,0.6601774588974807,0.6252939557451757,132.43067068093842,47.258500490846416,93.310546875,97.4609375,1.4753475752573786,nan
22,0.5870542788433215,0.586627616810768,129.10680898127384,46.4125950007551,93.84765625,97.55859375,1.4704717304656953,nan
23,0.5791070140167286,0.4912385419383273,125.94718825629522,45.74656637783809,94.3359375,97.8515625,1.466038541901366,nan
24,0.5664071390641345,0.48155285145569465,123.17605341895312,45.17969195689627,94.7265625,97.75390625,1.4638092168274035,nan
25,0.5469509001659483,0.5850730909877033,120.61541720881368,44.63591866695695,95.068359375,97.705078125,1.460479623909274,4.28361858190709
26,0.5393541032342273,0.4219410686204128,117.99357668095008,44.217594355091336,95.263671875,97.802734375,1.457501594532424,nan
27,0.5170474686778325,0.41742511127264276,116.26685165117112,43.62223355453664,95.41015625,98.046875,1.4553420164010153,nan
28,0.5123211831745772,0.4138499792116854,113.8385950550858,43.20684545082988,95.60546875,98.046875,1.4524459769473783,nan
29,0.48630424500044106,0.3519714245281455,111.6940836237206,42.728472362181556,95.80078125,97.998046875,1.448921553887359,nan
30,0.4880543937354966,0.32961911445415004,109.94167587716235,42.463110005058425,95.8984375,98.095703125,1.4468304798718141,4.50040749796251
31,0.43885854051804185,0.3765949279434857,108.66391504393093,42.11071359473673,95.947265625,98.046875,1.443657676139703,nan
32,0.43727263025177954,0.37350712826766513,106.99890101846627,41.733932397988966,96.142578125,98.095703125,1.4423993559317931,nan
33,0.4270603412369694,0.3709332682514382,105.51254313376012,41.351532607312265,96.240234375,98.193359375,1.439834966377956,nan
34,0.42677195285862485,0.3715437294704324,104.85792733936258,41.13562683207731,96.240234375,98.193359375,1.4389506660465545,nan
35,0.4199483106519555,0.36693035021712656,103.22696885464434,40.83691163356163,96.484375,98.291015625,1.437182829134872,4.6601466992665035
36,0.4160566914311168,0.2836057084514087,102.05109398551653,40.62895255062605,96.728515625,98.291015625,1.4354975986983916,nan
37,0.40908561907349233,0.2834304734395378,101.18757638204573,40.43925166037634,96.875,98.291015625,1.434146150721798,nan
38,0.4073580066220015,0.28349364689670026,100.22051270376483,40.211678703094385,96.97265625,98.291015625,1.431960156419595,nan
39,0.4052147946370913,0.28164642357305475,99.09417069806565,40.0159483524329,97.119140625,98.33984375,1.4308004020184677,nan
40,0.40348578841059823,0.2815958716474089,98.50726424231718,39.822715434744104,97.16796875,98.33984375,1.4288863062579669,4.765281173594132
41,0.4017062935049198,0.2815844101535821,97.64062716187075,39.76086997694249,97.265625,98.388671875,1.4275789793996767,nan
42,0.4003327104909158,0.2815908203167324,96.99922077524758,39.58939475190631,97.314453125,98.388671875,1.427109281964489,nan
43,0.39906098085757125,0.2815638649362075,96.2951105051328,39.440581516288354,97.36328125,98.388671875,1.4251694059629185,nan
44,0.3978945329014722,0.2817251279163642,95.64978496753726,39.322737440121585,97.36328125,98.33984375,1.4236218710577258,nan
45,0.3969686969171799,0.2819479784358667,94.97476504356345,39.140565506355685,97.36328125,98.33984375,1.423063075950307,4.856560717196414
46,0.3963009629108782,0.28208348508741454,94.69392975650848,39.056749023459034,97.412109375,98.33984375,1.4222839480068863,nan
47,0.39568397320424026,0.28216015098125385,93.7738480596065,38.87791603700281,97.412109375,98.33984375,1.4209308474960387,nan
48,0.39163450975547676,0.28000953054904965,93.25355221300296,38.79065427625094,97.509765625,98.33984375,1.4201508904946112,nan
49,0.38542961621531524,0.2794315894237694,92.89546330939933,38.70377960537011,97.509765625,98.388671875,1.419114726001119,nan
50,0.3841812818514991,0.27816552195448147,92.53726304303015,38.639113018780094,97.55859375,98.4375,1.4186754271447986,4.91279543602282
