step,bestK_pos_mm,bestK_ori_deg,mean_pos_mm,mean_ori_deg,pct_submm,pct_subdeg,diversity,distinct_modes
0,4.202348940384727,2.4435403749398312,14.41520976072665,3.2340302587380685,3.662109375,8.642578125,0.01976146504408973,0.026079869600651995
1,0.14631243174268596,0.027450322427837456,0.5996716650768625,0.07813510783354952,99.90234375,100.0,0.009010919392134319,1.371638141809291
2,0.02326773685593246,0.00040546294120137523,0.1696466840891988,0.016935091379677546,100.0,100.0,0.007985946605187626,1.3960880195599021
3,0.01228851633188389,0.0002840557984926606,0.10036769109799196,0.010159091763376265,100.0,100.0,0.007634985078515032,1.3993480032599837
4,0.008491208879400093,0.0002598884566629034,0.07371810716760811,0.005750462314829021,100.0,100.0,0.007418087662612144,nan
5,0.006330241155342618,0.00016773659442102418,0.058060360979231215,0.0043717267401100724,100.0,100.0,0.007272954308945629,1.400162999185004
6,0.004977739649913744,0.00014997376258717396,0.0492993330812979,0.0036919248122368304,100.0,100.0,0.00723771320694295,nan
7,0.004048236096386869,0.00010189037413153932,0.04128108761076183,0.0025274030518177464,100.0,100.0,0.007169011708241121,nan
8,0.0034003166238967385,6.403662157521435e-05,0.032642949639982495,0.0042970886502649575,100.0,100.0,0.007121357218064175,nan
9,0.0029325707424567218,5.048667399878061e-05,0.02529577775499948,0.0033749029314129853,100.0,100.0,0.007096776376089122,nan
10,0.002589308761033262,3.981569478835712e-05,0.021860769311878837,0.0017631294317218976,100.0,100.0,0.00705203053221423,1.400162999185004
11,0.0023210481101457107,2.885127301844315e-05,0.018434892122011208,0.0006220363260560883,100.0,100.0,0.007008854144503531,nan
12,0.0021059734717981627,2.1518349709497403e-05,0.019043542071457153,0.0010340036952419067,100.0,100.0,0.006978926766475171,nan
13,0.0019280184361808,1.7041436687962133e-05,0.0169791919960932,0.0008345730497992896,100.0,100.0,0.006965141623407459,nan
14,0.0017782683536610923,1.4269273104022267e-05,0.013647307912388707,0.00039122594367536364,100.0,100.0,0.006954226452245658,nan
15,0.0016504364657363472,1.2585230805133204e-05,0.011870028038789811,0.00013572347393242111,100.0,100.0,0.006941303651442175,1.3993480032599837
16,0.001540595589799708,1.1071327618757858e-05,0.010913994910868882,0.00011370776113158242,100.0,100.0,0.006927650506836787,nan
17,0.001445315030232947,9.870055219098781e-06,0.010181545272063197,9.294684773796915e-05,100.0,100.0,0.006914464302454634,nan
18,0.0013619624153842194,9.027814161180299e-06,0.009542392875314264,7.99365387618766e-05,100.0,100.0,0.00690257590635731,nan
19,0.0012885131267138248,8.342658828697668e-06,0.00897973524815364,7.180005451436015e-05,100.0,100.0,0.006891835655603135,nan
20,0.001223398086533469,7.776993629047083e-06,0.008480038161187548,6.629589471525998e-05,100.0,100.0,0.006882099038345341,1.3993480032599837
21,0.0011653549114213986,7.298895284163245e-06,0.008032842911077979,6.210655470739021e-05,100.0,100.0,0.0068732374901160674,nan
22,0.0011133595223983973,6.864450384137006e-06,0.007629734673442685,5.863677627542445e-05,100.0,100.0,0.006865138625539588,nan
23,0.0010665723892937281,6.5127355392695485e-06,0.007263844107511977,5.5627052990877936e-05,100.0,100.0,0.006857704588973141,nan
24,0.0010242976636064363,6.210929966156374e-06,0.006929579423558608,5.297632310628994e-05,100.0,100.0,0.006850850308716158,nan
25,0.000985953517353223,5.935670435426222e-06,0.00662247566733006,5.0596626119800404e-05,100.0,100.0,0.006844502116769479,1.3993480032599837
26,0.0009510502296292076,5.7033488167090734e-06,0.006339055936559507,4.845722018377306e-05,100.0,100.0,0.006838596663713512,nan
27,0.0009191728270265009,5.471933361161271e-06,0.006076665641624226,4.653283961816156e-05,100.0,100.0,0.006833079967154089,nan
28,0.0008899674876997649,5.271893776848879e-06,0.005833448334724675,4.477331528526765e-05,100.0,100.0,0.006827900879818865,nan
29,0.0008631307828979701,5.084414647402972e-06,0.005607785798458878,4.310525049954374e-05,100.0,100.0,0.006823018619468022,nan
30,0.0008384011286850967,4.928951486964384e-06,0.005398084222907681,4.154685609989516e-05,100.0,100.0,0.0068183974813380505,1.3993480032599837
31,0.0008155519312562711,4.778828398287753e-06,0.005202640567143932,4.0036956934033215e-05,100.0,100.0,0.006814001729882477,nan
32,0.0007943860426147738,4.648180099341334e-06,0.005019426317260588,3.855145874636406e-05,100.0,100.0,0.006809797452394306,nan
33,0.0007747312407694965,4.510451045659048e-06,0.004846214870428389,3.7065948005470164e-05,100.0,100.0,0.006805758904538045,nan
34,0.0007564365185742318,4.39379048278821e-06,0.004681530195834732,3.561136125176054e-05,100.0,100.0,0.0068018836106936,nan
35,0.0007393690160755555,4.293636365906538e-06,0.004526429366859758,3.427655451294756e-05,100.0,100.0,0.006798451379014626,1.3993480032599837
36,0.0007234114688315084,4.193186143195854e-06,0.004384581196672576,3.3109812241464115e-05,100.0,100.0,0.00679541401088886,nan
37,0.0007084600730781054,4.097446147795561e-06,0.0042582625198970036,3.2053947039485325e-05,100.0,100.0,0.00679252472160229,nan
38,0.000694422689337923,4.015026069405691e-06,0.004145826773977089,3.107199265865719e-05,100.0,100.0,0.0067897616091929375,nan
39,0.0006812173234719247,3.93170824831684e-06,0.004044183896434005,3.0153270231676528e-05,100.0,100.0,0.006787110697974042,nan
40,0.000668770835766185,3.8669816955888655e-06,0.003950948681229495,2.931726977767436e-05,100.0,100.0,0.006784563336714503,1.3993480032599837
41,0.0006570178388746458,3.7856185295318283e-06,0.0038645866590836853,2.8552968422584902e-05,100.0,100.0,0.006782113216783601,nan
42,0.0006458997530519654,3.7282200594196995e-06,0.0037840717239830493,2.785022296195825e-05,100.0,100.0,0.006779754894082373,nan
43,0.0006353639929213049,3.668713329743277e-06,0.003708658859102175,2.7197354865355617e-05,100.0,100.0,0.006777483242616429,nan
44,0.0006253632649344403,3.6003728978294135e-06,0.0036377705465412274,2.6584421933991223e-05,100.0,100.0,0.006775293316976881,nan
45,0.0006158549583333289,3.5407584894948474e-06,0.003570938730207993,2.6009644351567462e-05,100.0,100.0,0.006773180356472296,1.3993480032599837
46,0.0006068006154730106,3.4926236665283143e-06,0.0035077724096119955,2.5469221024387472e-05,100.0,100.0,0.0067711398198119456,nan
47,0.0005981654697580013,3.4476050526295195e-06,0.003447937948504241,2.494910182136919e-05,100.0,100.0,0.006769167413615203,nan
48,0.0005899180414851203,3.386408785747107e-06,0.0033911462673021668,2.4459632411611737e-05,100.0,100.0,0.006767259107222706,nan
49,0.0005820210822665462,4.033173089968153e-06,0.003337144042429582,2.3989715034926024e-05,100.0,100.0,0.006765411135529271,nan
